"","saledate","neigh","saleprice","landval","imprval","totalval","mbmancls","mbyrblt","mbeffyr","heattype","baseste","garagefl","carptfl","mktrcnld","linmcls","mbmclsdv","bedrooms","baths","familyrm","fireplcs","flrarea1","flrarea2","bsmtfin","mbmktval","mb_rcn","cp_mancl","cp_area","cpmktval","cp_rcn","gr_mancl","gar_area","gar_type","grmktval","gr_rcn","ob1mktval","lcs_val","width","depth","lot_size","conduit","alley","sidewalk","culdesac","corner","wooded","pie_shpe","slope","abv_road","splitlvl","crwlarea","bsmtarea","unfinbmt","area1_2","totarea","linmcdv","random","month"
"211",30317,716,179231.065909,61075.168,125578.024,186653.192,140,1996,1996,2,0,1,1,174482.826882,1,3,3,2.25,1,1,1187,0,1000,155021.62785291,178873.5471705,921,542,9232.7910129,12513.6955944,920,336,2,10228.198617,13860.322749,0,49628.08,70,115,8050,1,0,0,0,1,0,0,0,0,0,0,1150,150,1187,2187,1.03,0.5353138,3
"212",170717,731,172496.6674725,52483.992,99356.488,151840.48,81,1978,1983,2,0,0,0,106692.658597,0.783,0,4,2,1,0,1087,330,500,106693.51006636,137492.61141105,0,0,0,0,0,0,0,0,0,0,41842.11,60,110,6600,0,1,0,0,0,0,0,0,0,0,0,1087,587,1417,1917,0.783,0.5378445,7
"213",170817,713,128479.23522,42414.24,82342.128,124756.368,90,1984,1984,2,0,0,1,104958.2843085,0.945,1,2,1.75,1,1,1040,0,582,100661.08114335,129923.68154535,921,300,4297.20316515,5953.33264995,0,0,0,0,0,0,41474.41,50,119,5950,0,1,0,0,0,0,0,0,0,0,0,1040,458,1040,1622,0.95445,0.5387278,8
"214",51017,716,167387.603404,40509.04,124799.004,165308.044,140,2013,2013,8,0,0,1,155794.900989,1,2,2,1.75,0,1,1076,0,0,150465.10147851,153640.5640497,921,290,5329.9708371,5765.1404265,0,0,0,0,0,0,31082.78,84,134,11256,1,0,0,1,0,0,1,0,0,0,0,1076,1076,1076,1076,1.02,0.5412763,10
"215",140717,715,117452.1251295,50839.195,78048.905,128888.1,90,1989,1989,2,0,0,1,97515.0461075,0.945,0,2,1.75,1,0,912,0,650,92978.19295527,117923.21203635,921,315,4536.56562975,6215.33750985,0,0,0,0,0,0,49705.29,60,115,6900,1,0,0,0,0,0,0,0,0,0,0,912,262,912,1562,0.945,0.5420528,7
"216",130317,716,145279.806728,50792.104,82420.316,133212.42,140,2001,2001,2,0,0,0,104450.219601,1,-2,2,1.75,1,0,906,0,600,104449.30585908,130723.9166961,0,0,0,0,0,0,0,0,0,0,43034.64,45,115.5,5198,1,0,0,0,1,0,0,0,0,0,0,874,274,906,1506,0.98,0.5423952,3
"217",101017,716,163439.782569,56712.656,98935.54,155648.196,140,2000,2000,2,0,0,1,130636.540125,1,-2,3,2.5,1,2,1040,0,574,125736.08509917,153054.6270435,921,264,4899.941046,6366.4968276,0,0,0,0,0,0,48019.86,54.6,110,6006,1,0,0,0,0,0,0,1,1,0,0,1040,466,1040,1614,0.98,0.5424494,10
"218",10417,716,178441.501742,54843.008,109062.8,163905.808,140,1998,1998,2,0,1,0,141357.778653,1,0,3,2.25,2,2,1163,0,900,134726.69643069,176409.8705187,0,0,0,0,920,304,1,6630.339807,9390.4114941,0,44528.88,56.8,110,6243,1,0,0,0,0,0,0,0,0,0,0,1092,192,1163,2063,1,0.54461,4
"219",300617,716,177651.937575,61075.168,113581.116,174656.284,140,1999,1999,2,0,0,1,151328.987355,1,3,3,2.25,1,2,1169,0,675,144838.20258999,177000.9473232,921,392,6491.5652529,8521.7855814,0,0,0,0,0,0,51411.02,60,133.5,8010,1,0,0,0,0,0,0,1,1,0,0,1169,494,1169,1844,1.03,0.5465471,6
"220",290617,713,104924.708763,46363.152,58648.656,105011.808,80,1974,1974,7,0,0,0,74915.112524,0.783,8,2,1.5,1,0,960,0,440,74559.854672485,111190.1907123,0,0,0,0,0,0,0,0,0,354.7789,44027.78,60,110,6600,0,1,0,0,0,0,0,0,0,0,0,960,520,960,1400,0.84564,0.5474424,6
"221",280917,737,226734.360132,58969.152,142069.312,201038.464,140,2008,2008,2,0,0,1,182409.538038,1,6,3,2.25,0,1,1314,0,392,171757.42027899,182930.5612953,931,484,10651.3753437,12374.9210403,0,0,0,0,0,0,52822.48,55.8,118.1,6587,1,0,0,0,0,0,0,0,0,0,0,1274,882,1314,1706,1.06,0.5476826,9
"222",280517,737,143704.87614,46344.32,86296.32,132640.64,90,1998,1998,2,0,0,1,108579.270541,0.945,0,3,1,1,1,1032,0,720,104047.035718605,130374.9121374,921,286,4531.7136879,6097.2735915,0,0,0,0,0,0,43055.75,51,110,5610,1,0,0,0,0,0,0,0,0,0,0,1032,312,1032,1752,0.945,0.5485455,5
"223",300417,713,124196.594046,51774.624,65376.432,117151.056,81,1973,1988,2,0,0,1,102829.116376,0.783,5,4,1.5,1,0,884,472,884,101159.792956775,126784.8520407,911,320,1669.9442823,2182.42240335,0,0,0,0,0,0,48520.02,87.9,110,9664,0,1,0,0,1,0,0,0,0,0,0,884,0,1356,2240,0.82215,0.5486916,4
"224",280517,736,212047.80331,52631.172,165001.749,217632.921,142,1997,1997,2,0,1,0,207369.921486,1,3,4,2,2,1,1298,641,627,196376.464011,242093.0662605,0,0,0,0,920,423,1,10994.0285637,14742.6547905,0,45656.72,71,110,7810,0,0,0,0,0,1,0,0,1,1,0,1268,641,1939,2566,1.03,0.5523285,5
"225",300317,716,221077.96676,64814.464,133991.44,198805.904,140,2007,2007,2,0,1,0,174914.950665,1,4,3,2,1,1,1302,0,500,169110.46222707,189100.0325214,0,0,0,0,920,86,3,5804.5455468,6880.4766576,0,53131.91,60,114.5,6870,1,0,1,0,0,0,0,0,0,0,0,1267,767,1302,1802,1.04,0.5525175,3
"226",310317,716,120013.753384,52350.144,76655.568,129005.712,140,2000,2000,2,0,0,1,100420.237008,1,-4,3,1.5,0,0,912,0,0,96975.96298572,118470.6375489,921,265,3443.664861,4475.0510532,0,0,0,0,0,0,47415.58,57.5,120,6900,1,0,0,0,0,0,0,0,0,0,0,912,912,912,912,0.96,0.5539208,3
"227",280717,737,201186.826596,58010.304,108190.016,166200.32,140,1995,1995,2,0,1,0,149967.89262,1,0,3,1.75,1,1,945,0,655,133570.77482931,156477.7327113,0,0,0,0,920,624,1,15254.9213544,20901.84642,1142.1774,46101.88,59.9,114.3,6845,1,0,0,0,1,0,0,0,0,0,0,945,290,945,1600,1,0.5543863,7
"228",50617,737,183622.89729,70954.752,92049.408,163004.16,90,1993,1993,2,0,0,1,133595.5233165,0.945,4,4,1.75,0,1,1439,0,253,129650.517219195,173626.73910225,921,280,3944.62872405,5603.99283675,0,0,0,0,0,0,43503.19,115.1,114.8,13213,1,0,0,1,0,1,1,0,0,0,0,1391,1138,1439,1692,0.9828,0.5627878,6
"229",130817,716,205286.68342,55466.224,150818.272,206284.496,140,1998,1998,2,0,1,0,201700.914324,1,5,3,2.25,1,2,1353,0,1150,187967.69688333,225215.6819094,0,0,0,0,920,527,1,13733.5410576,18222.2982396,0,50151.06,78.4,107.9,8456,1,0,0,0,1,0,0,0,0,0,0,1353,203,1353,2503,1.05,0.5693771,8
"230",101017,736,148433.462317,51572.499,97246.677,148819.176,90,1990,1990,2,0,0,1,119445.8232695,0.945,2,3,1.75,1,1,1104,0,532,114448.125492295,144775.4755482,921,252,4997.5001055,6791.10127605,0,0,0,0,0,0,44873.14,61,120,7320,1,0,0,0,1,0,0,0,1,1,0,1066,534,1104,1636,0.9639,0.5709012,10
"231",190817,731,111712.127506,55124.696,68493.26,123617.956,90,1975,1975,2,0,1,0,82883.7459065,0.945,-4,2,1,0,1,830,0,0,77446.3364066,99527.88316905,0,0,0,0,920,240,1,5437.4094999,7729.14336705,0,43947.37,60,110,6600,0,1,0,0,0,0,0,0,0,0,0,830,830,830,830,0.9072,0.5709729,8
"232",280417,716,135015.472557,56556.852,85380.592,141937.444,140,1995,1995,2,0,0,0,102982.521642,1,-2,3,1,1,1,1092,0,502,102982.97851296,137331.9840438,0,0,0,0,0,0,0,0,0,0,48341.41,60,110,6600,1,0,0,0,0,0,0,0,0,0,0,1008,506,1092,1594,0.98,0.5714288,4
"233",190817,716,134225.90839,55466.224,81485.492,136951.716,90,1998,1998,2,0,0,0,99441.4467235,0.945,1,2,1,0,1,927,0,0,99442.20147001,122270.55193395,0,0,0,0,0,0,0,0,0,0,50691.76,60,120,7200,1,0,0,0,0,0,0,0,0,0,0,912,912,927,927,0.95445,0.5714449,8
"234",250617,716,185547.579245,56712.656,104700.288,161412.944,90,1997,1997,2,0,0,1,135527.314979,0.945,4,3,1.75,1,2,974,0,750,128265.68316443,150316.3931409,921,384,7261.7396355,9251.035794,0,0,0,0,0,0,46221.84,55.9,114.5,6403,1,0,0,0,0,0,1,0,0,0,0,974,224,974,1724,0.9828,0.5729711,6
"235",300917,731,106783.6512925,62386.632,34989.328,97375.96,40,1965,1965,2,0,0,0,42924.095396,0.507,-3,3,1,0,1,824,0,0,42028.88842565,71073.4707711,0,0,0,0,0,0,0,0,0,895.2965,47791.01,90,110,9900,0,1,1,0,0,0,0,0,0,0,824,0,0,824,824,0.49179,0.5732862,9
"236",250617,716,176862.373408,57647.48,108283.78,165931.26,140,1994,1994,2,0,0,1,137188.831143,1,3,3,1.5,1,2,1202,0,404,131062.42000488,168378.0790419,921,390,6126.6395736,8485.8069933,0,0,0,0,0,0,49122.99,76,103,7828,1,0,0,0,0,0,0,0,0,0,0,1202,798,1202,1606,1.03,0.5760669,6
